text,sentence_id,is_replacement,replaced_index,replaced_str
sieci_neuronowe,182,False,-1,
sieci_neuronowe,183,False,-1,
sieci_neuronowe,184,False,-1,
sieci_neuronowe,185,False,-1,
sieci_neuronowe,186,False,-1,
sieci_neuronowe,187,True,19,co
sieci_neuronowe,188,False,-1,
sieci_neuronowe,189,True,4,linie
sieci_neuronowe,190,False,-1,
sieci_neuronowe,191,True,1,współczesne
sieci_neuronowe,192,False,-1,
sieci_neuronowe,193,True,0,Naszą
sieci_neuronowe,194,True,12,rzeczywistością
sieci_neuronowe,195,True,14,zyski
sieci_neuronowe,196,True,1,trudne
sieci_neuronowe,197,True,16,danych
sieci_neuronowe,198,True,7,jej
sieci_neuronowe,199,True,3,połączeń
sieci_neuronowe,200,False,-1,
sieci_neuronowe,201,False,-1,
